Well Name;Top;;formation;X;Y;Z;Calcite ;Dolomite
Ahlhorn_Z1;43.37;;Top;3445018.28;5863042.02;-3773.8;;
Ahlhorn_Z1;;;A2;3445063.98;5863089.02;-3778.8;;
Ahlhorn_Z1;;;Ca2;3445065.38;5863092.52;-3880.7;66.1;33.9
Ahlhorn_Z1;;;A1;3445066.78;5863094.82;-3923.6;;
Brinkholz_Z1;41.63;;Top;3458765.3;5867877.4;-3846.9;;
Brinkholz_Z1;;;A2;3458732.2;5867909.5;-3858.4;;
Brinkholz_Z1;;;Ca2;3458730.6;5867912.6;-3909.7;35;65
Brinkholz_Z1;;;A1;3458721.6;5867929.8;-4194.1;;
Bethermoor_Z1;27.09;;Top;3435998.6;5866053.7;-3903.7;;
Bethermoor_Z1;;;A2;3435764.2;5865925;-3906.2;;
Bethermoor_Z1;;;Ca2;3435753.8;5865926.9;-4006.6;95.8;4.2
Bethermoor_Z1;;;A1;3435750.7;5865927.5;-4036.5;;
Cappeln_Z4a;37.26;;Top;3439728.46;5850616.6;-3574.7;;
Cappeln_Z4a;;;A2;3439587.53;5851025.15;-3601.6;;
Cappeln_Z4a;;;Ca2;3439587.83;5851027.44;-3624.5;0;100
Cappeln_Z4a;;;A1;3439941.96;5850478.67;-3838;;
Cappeln_Z1a;42.76;;Top;3439653.61;5851873.39;-3493;;
Cappeln_Z1a;;;A2;3439761.62;5851726.42;-3525.5;;
Cappeln_Z1a;;;Ca2;3439761.2;5851726.44;-3558;0;100
Cappeln_Z1a;;;A1;3439747.05;5851734.32;3823.9;;
Doetlingen_Z3;23.25;;Top;3455608.56;5865710.51;-3646.556211;;
Doetlingen_Z3;;;A2;3455609.9;5865737.5;-3706.037242;;
Doetlingen_Z3;;;Ca2;3455611.8;5865740.4;-3932.504022;18.4;81.6
Doetlingen_Z3;;;A1;3455610.9;5865742.2;-4079;;
Goldenstedt_Z9;37.52;;Top;3453444.56;5846244.1;-3418.861398;;
Goldenstedt_Z9;;;A2;3453342.8;5846334.8;-3510.845394;;
Goldenstedt_Z9;;;Ca2;3453342.5;5846335.1;-3541.842824;0;100
Goldenstedt Z9;;;A1;3453347.9;5846336.3;-3784.7;;
Hengstlage-Nord_Z2;27.5;;Top;3445698.91;5872758.56;-3918.946657;;
Hengstlage-Nord_Z2;;;A2;3445752.8;5872955.6;-3922.946505;;
Hengstlage-Nord_Z2;;;Ca2;3445752.1;5872956.4;-4042.941936;99;1
Hengstlage-Nord_Z2;;;A1;3445751.9;5872956.7;-4080.9;;
Hude_Z1;5.8;;Top;3466330;5885877;-4598.755946;;
Hude_Z1;;;A2;3466318.7;5885836.7;-4605.255091;;
Hude_Z1;;;Ca2;3466317.4;5885835.8;-4676.736277;43.7;56.3
Hude_Z1;;;A1;3466317.3;5885835.7;-4717.7;;
Quaadmoor_Z1;50;;Top;3458436.1;5852104.5;-3712.877222;;
Quaadmoor_Z1;;;A2;3458474.4;5852185.3;-3742.368974;;
Quaadmoor_Z1;;;Ca2;3458474.1;5852185.7;-3772.86493;14.2;85.8
Quaadmoor_Z1;;;A1;3458465.1;5852184.1;-4031.6;;
Reiherholz_Z1;5.46;;Top;3459022.9;5886456.4;-4476.712968;;
Reiherholz_Z1;;;A2;3459085.6;5886510.2;-4482.17844;;
Reiherholz_Z1;;;Ca2;3459094;5886512;-4564.227368;98;2
Reiherholz_Z1;;;A1;3459097.7;5886512.6;-4605.1;;
Rechterfeld_Z2;51;;Top;3458810;5854790;-3810.642689;;
Rechterfeld_Z2;;;A2;3458868.5;5854936.8;-3839.139474;;
Rechterfeld_Z2;;;Ca2;3458868.1;5854937.3;-3868.631469;3.9;96.1
Rechterfeld_Z2;;;A1;3458863.2;5854947.9;-4112.3;;
Sagermeer_Z4;14.87;;Top;3444813.63;5874785.13;-3812.157388;;
Sagermeer_Z4;;;A2;3445030.8;5874883.3;-3815.157175;;
Sagermeer_Z4;;;Ca2;3445029.3;5874883.2;-3937.145737;90.8;9.2
Sagermeer_Z4;;;A1;3445028.7;5874882.5;-3974.6;;
Sagermeer_Z7;17;;Top;3444584.94;5873902.88;-3923.816289;;
Sagermeer_Z7;;;A2;3444795.3;5873975.7;-3927.803958;;
Sagermeer_Z7;;;Ca2;3444795.4;5873984.2;-4035.47103;86.5;13.5
Sagermeer_Z7;;;A1;3444795.5;5873986.3;-4062.4;;
Sagermeer-Nord_Z1;8.27;;Top;3444147.76;5880195.42;-3907.538307;;
Sagermeer-Nord_Z1;;;A2;3444010.8;5880140;-3910.537777;;
Sagermeer-Nord_Z1;;;Ca2;3444011.9;5880139.9;-4000.030331;94.4;5.6
Sagermeer-Nord_Z1;;;A1;3444012;5880139.7;-4036.5;;
Varnhorn_Z1;47;;Top;3453720;5859690;-3682.221602;;
Varnhorn_Z1;;;A2;3453789.2;5859755.7;-3720.694691;;
Varnhorn_Z1;;;Ca2;3453781.2;5859758.3;-3920.517349;9.4;90.6
Varnhorn_Z1;;;A1;3453778.2;5859760.7;-4011.4;;
Goldenstedt_Z11;37.52;;Top;3454322.1;5847423.58;-3470.169598;;
Goldenstedt_Z11;;;A2;3454398.8;5847302.8;-3548.117965;;
Goldenstedt_Z11;;;Ca2;3454399.7;5847302.9;-3577.102688;0;100
Goldenstedt_Z11;;;A1;3454405.3;5847306.8;-3832;;
Goldenstedt_12;48.5;;Top;3453590.64;5851020.37;-3564.673415;;
Goldenstedt_12;;;A2;3453656.3;5851121.9;-3597.669634;;
Goldenstedt_12;;;Ca2;3453656.1;5851122;-3623.668783;0;100
Goldenstedt_12;;;A1;3453654.4;5851122.1;-3793.7;;
